Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
750-67-8428;A;Yangon;Member;Female;Health and beauty; 75 ; 7 ; 26 ; 549 ;01/05/2019;13:08:00;Ewallet;522,83;4,761904762;26,1415;9,1
226-31-3081;C;Naypyitaw;Normal;Female;Electronic accessories; 15 ; 5 ; 4 ; 80 ;03/08/2019;10:29:00;Cash;76,4;4,761904762;3,82;9,6
631-41-3108;A;Yangon;Normal;Male;Home and lifestyle; 46 ; 7 ; 16 ; 341 ;03/03/2019;13:23:00;Credit card;324,31;4,761904762;16,2155;7,4
123-19-1176;A;Yangon;Member;Male;Health and beauty; 58 ; 8 ; 23 ; 489 ;27/01/2019;20:33:00;Ewallet;465,76;4,761904762;23,288;8,4
373-73-7910;A;Yangon;Normal;Male;Sports and travel; 86 ; 7 ; 30 ; 634 ;02/08/2019;10:37:00;Ewallet;604,17;4,761904762;30,2085;5,3
699-14-3026;C;Naypyitaw;Normal;Male;Electronic accessories; 85 ; 7 ; 30 ; 628 ;25/03/2019;18:30:00;Ewallet;597,73;4,761904762;29,8865;4,1
355-53-5943;A;Yangon;Member;Female;Electronic accessories; 69 ; 6 ; 21 ; 434 ;25/02/2019;14:36:00;Ewallet;413,04;4,761904762;20,652;5,8
315-22-5665;C;Naypyitaw;Normal;Female;Home and lifestyle; 74 ; 10 ; 37 ; 772 ;24/02/2019;11:38:00;Ewallet;735,6;4,761904762;36,78;8
665-32-9167;A;Yangon;Member;Female;Health and beauty; 36 ; 2 ; 4 ; 76 ;01/10/2019;17:15:00;Credit card;72,52;4,761904762;3,626;7,2
692-92-5582;B;Mandalay;Member;Female;Food and beverages; 55 ; 3 ; 8 ; 173 ;20/02/2019;13:27:00;Credit card;164,52;4,761904762;8,226;5,9
351-62-0822;B;Mandalay;Member;Female;Fashion accessories; 14 ; 4 ; 3 ; 61 ;02/06/2019;18:07:00;Ewallet;57,92;4,761904762;2,896;4,5
529-56-3974;B;Mandalay;Member;Male;Electronic accessories; 26 ; 4 ; 5 ; 107 ;03/09/2019;17:03:00;Cash;102,04;4,761904762;5,102;6,8
365-64-0515;A;Yangon;Normal;Female;Electronic accessories; 47 ; 5 ; 12 ; 246 ;02/12/2019;10:25:00;Ewallet;234,75;4,761904762;11,7375;7,1
252-56-2699;A;Yangon;Normal;Male;Food and beverages; 43 ; 10 ; 22 ; 453 ;02/07/2019;16:48:00;Ewallet;431,9;4,761904762;21,595;8,2
829-34-3910;A;Yangon;Normal;Female;Health and beauty; 71 ; 10 ; 36 ; 749 ;29/03/2019;19:21:00;Cash;713,8;4,761904762;35,69;5,7
299-46-1805;B;Mandalay;Member;Female;Sports and travel; 94 ; 6 ; 28 ; 590 ;15/01/2019;16:19:00;Cash;562,32;4,761904762;28,116;4,5
